# ----------------------------------------
# 1 Master View
# Pages
# 20190101-20190131
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/home,"2,613","1,805",00:00:38,"1,613",17.08%,17.68%,$0.07
/basket.html,"1,307",602,00:01:30,63,21.88%,22.65%,$0.24
/google+redesign/bags,713,531,00:00:29,94,40.21%,17.67%,$0.00
/signin.html,578,454,00:00:47,85,21.18%,11.59%,$0.32
/google+redesign/apparel/mens/mens+warm+gear,540,399,00:00:39,48,34.69%,15.93%,$0.22
/google+redesign/nest/nest-usa,464,293,00:00:53,38,17.95%,15.09%,$0.00
/asearch.html,456,318,00:00:38,51,51.02%,28.07%,$0.12
/google+redesign/apparel,430,312,00:01:09,101,34.31%,21.86%,$0.12
/google+redesign/bags/quickview,360,197,00:00:21,4,0.00%,6.11%,$0.00
/google+redesign/apparel/mens/mens+t+shirts,354,263,00:00:37,83,26.51%,21.19%,$0.08
,"17,811","12,705",00:00:44,"3,187",29.78%,17.89%,$0.16

Day Index,Pageviews
1/1/19,229
1/2/19,521
1/3/19,467
1/4/19,572
1/5/19,426
1/6/19,392
1/7/19,824
1/8/19,627
1/9/19,753
1/10/19,785
1/11/19,584
1/12/19,532
1/13/19,402
1/14/19,993
1/15/19,626
1/16/19,562
1/17/19,816
1/18/19,474
1/19/19,322
1/20/19,200
1/21/19,240
1/22/19,669
1/23/19,702
1/24/19,771
1/25/19,637
1/26/19,364
1/27/19,316
1/28/19,650
1/29/19,872
1/30/19,954
1/31/19,529
,"17,811"
